A,B,C,D
0.2532939910888672,1.9073486328125e-06,0.009852409362792969,0.2460211110115051
0.43824410438537603,2.6226043701171875e-06,0.0006265640258789062,0.2460211110115051
0.3677525520324707,2.1457672119140625e-06,0.00040841102600097656,0.2460211110115051
0.32057809829711914,1.7642974853515625e-05,0.003127098083496093,0.2460211110115051
0.2689187526702881,2.384185791015625e-06,0.0004374980926513672,0.2460211110115051
0.32259535789489746,1.6689300537109375e-06,0.00048065185546875,0.2460211110115051
0.2720072269439697,1.9073486328125e-06,0.0005276203155517578,0.2460211110115051
0.330594539642334,1.6689300537109375e-06,0.0005247592926025392,0.2460211110115051
0.276031494140625,1.9073486328125e-06,0.0004224777221679688,0.2460211110115051
0.2179226875305176,2.6226043701171875e-06,0.0003883838653564453,0.2460211110115051
0.2414779663085937,1.9073486328125e-06,0.0005171298980712892,0.2460211110115051
0.3857243061065674,2.6226043701171875e-06,0.0006287097930908202,0.2460211110115051
0.3017458915710449,2.6226043701171875e-06,0.0005788803100585938,0.2460211110115051
0.3629341125488281,2.6226043701171875e-06,0.0006871223449707031,0.2460211110115051
0.3124055862426758,2.384185791015625e-06,0.00048422813415527344,0.2460211110115051
0.3075876235961914,2.6226043701171875e-06,0.0006082057952880857,0.2460211110115051
0.2755415439605713,3.0994415283203125e-06,0.00047016143798828125,0.2460211110115051
0.3605573177337647,3.337860107421875e-06,0.0005927085876464844,0.2460211110115051
0.2675178050994873,9.775161743164062e-06,0.002077579498291016,0.2460211110115051
0.3712584972381592,1.9073486328125e-06,0.0006213188171386719,0.2460211110115051
0.320375919342041,1.9073486328125e-06,0.0005929470062255857,0.2460211110115051
0.4002790451049805,2.6226043701171875e-06,0.0005447864532470703,0.2460211110115051
0.22054386138916016,2.6226043701171875e-06,0.000484466552734375,0.2460211110115051
0.4472150802612305,3.0994415283203125e-06,0.005059480667114258,0.2460211110115051
0.5435523986816406,3.5762786865234375e-06,0.001025676727294922,0.2460211110115051
0.2367095947265625,3.337860107421875e-06,0.0005674362182617188,0.2460211110115051
0.27374958992004395,3.0994415283203125e-06,0.0006115436553955077,0.2460211110115051
0.2513720989227295,1.9073486328125e-06,0.0004346370697021485,0.2460211110115051
0.6548051834106445,1.1444091796875e-05,0.004469394683837891,0.2460211110115051
0.2547566890716553,1.6689300537109375e-06,0.00039505958557128906,0.2460211110115051
0.33380842208862305,2.384185791015625e-06,0.0005064010620117189,0.2460211110115051
0.3854904174804688,3.5762786865234375e-06,0.0009512901306152344,0.2460211110115051
0.3620457649230957,3.5762786865234375e-06,0.0008947849273681641,0.2460211110115051
0.4819612503051758,5.245208740234375e-06,0.0005714893341064452,0.2460211110115051
0.3135254383087158,2.1457672119140625e-06,0.00048470497131347656,0.2460211110115051
0.2770557403564453,2.384185791015625e-06,0.0004940032958984375,0.2460211110115051
0.2481789588928223,7.152557373046875e-06,0.001943588256835937,0.2460211110115051
0.3166654109954834,2.86102294921875e-06,0.00044465065002441406,0.2460211110115051
0.21531009674072266,1.5974044799804688e-05,0.0023746490478515625,0.2460211110115051
0.35584259033203125,1.9073486328125e-06,0.0004332065582275391,0.2460211110115051
0.3464066982269287,2.86102294921875e-06,0.0005176067352294922,0.2460211110115051
0.2525315284729004,1.6689300537109375e-06,0.00039505958557128906,0.2460211110115051
0.36157774925231934,3.0994415283203125e-06,0.0008404254913330077,0.2460211110115051
0.3327474594116211,1.9073486328125e-06,0.0005321502685546875,0.2460211110115051
0.5095725059509277,2.0265579223632806e-05,0.0024259090423583984,0.2460211110115051
0.3374631404876709,2.1457672119140625e-06,0.0005044937133789061,0.2460211110115051
0.2777409553527832,3.0994415283203125e-06,0.0004792213439941406,0.2460211110115051
0.3242964744567871,2.1457672119140625e-06,0.0004825592041015625,0.2460211110115051
0.2859213352203369,2.6226043701171875e-06,0.0004394054412841797,0.2460211110115051
0.3182339668273926,3.0994415283203125e-06,0.0005366802215576172,0.2460211110115051
0.5869426727294922,2.1457672119140625e-06,0.0004792213439941406,0.2460211110115051
0.26453137397766113,2.384185791015625e-06,0.0004634857177734375,0.2460211110115051
0.3990061283111572,2.1457672119140625e-06,0.0004477500915527344,0.2460211110115051
0.4052553176879883,2.6226043701171875e-06,0.0005204677581787108,0.2460211110115051
0.40465688705444336,2.1457672119140625e-06,0.00046515464782714844,0.2460211110115051
0.3796577453613281,3.0994415283203125e-06,0.0005574226379394531,0.2460211110115051
0.4759767055511474,2.1457672119140625e-06,0.0004868507385253906,0.2460211110115051
0.2855527400970459,1.9073486328125e-06,0.00047135353088378906,0.2460211110115051
0.3204967975616455,2.384185791015625e-06,0.0005421638488769531,0.2460211110115051
0.2554121017456055,1.9073486328125e-06,0.0004940032958984375,0.2460211110115051
0.32566142082214355,2.1457672119140625e-06,0.0004377365112304688,0.2460211110115051
0.3049907684326172,2.1457672119140625e-06,0.0004374980926513672,0.2460211110115051
0.3307633399963379,2.86102294921875e-06,0.0006251335144042969,0.2460211110115051
0.3103797435760498,2.1457672119140625e-06,0.0004394054412841797,0.2460211110115051
0.3999385833740233,3.814697265625e-06,0.0010137557983398438,0.2460211110115051
0.5245826244354248,2.1457672119140625e-06,0.0004742145538330078,0.2460211110115051
0.3013014793395996,2.1457672119140625e-06,0.0004239082336425781,0.2460211110115051
0.5617952346801758,2.86102294921875e-06,0.0006258487701416018,0.2460211110115051
0.4399704933166504,1.6689300537109375e-06,0.0005383491516113281,0.2460211110115051
0.3323893547058105,2.6226043701171875e-06,0.0004367828369140625,0.2460211110115051
0.4810497760772705,2.86102294921875e-06,0.0006949901580810548,0.2460211110115051
0.2830564975738525,2.6226043701171875e-06,0.0004448890686035156,0.2460211110115051
0.223743200302124,6.4373016357421875e-06,0.000850677490234375,0.2460211110115051
0.3484172821044922,2.6226043701171875e-06,0.0005645751953125,0.2460211110115051
0.4805989265441895,4.76837158203125e-06,0.0007088184356689452,0.2460211110115051
0.2798464298248291,1.6689300537109375e-06,0.00046133995056152317,0.2460211110115051
0.2523453235626221,1.6689300537109375e-06,0.0006113052368164062,0.2460211110115051
0.3017311096191406,2.1457672119140625e-06,0.0006322860717773438,0.2460211110115051
0.3073494434356689,1.9073486328125e-06,0.000415802001953125,0.2460211110115051
0.23252058029174805,6.67572021484375e-06,0.0004458427429199219,0.2460211110115051
0.2619144916534424,2.1457672119140625e-06,0.0005195140838623047,0.2460211110115051
0.30331873893737793,2.1457672119140625e-06,0.00047969818115234375,0.2460211110115051
0.2857518196105957,2.384185791015625e-06,0.00048661231994628906,0.2460211110115051
0.3619973659515381,2.384185791015625e-06,0.0006747245788574219,0.2460211110115051
0.2184202671051025,1.6689300537109375e-06,0.00049591064453125,0.2460211110115051
0.3957488536834717,2.6226043701171875e-06,0.0004210472106933594,0.2460211110115051
0.23947882652282715,1.6689300537109375e-06,0.0004189014434814453,0.2460211110115051
0.26183295249938965,1.6689300537109375e-06,0.00047278404235839844,0.2460211110115051
0.4266717433929443,3.5762786865234375e-06,0.00047397613525390647,0.2460211110115051
0.3778181076049805,2.6226043701171875e-06,0.0007414817810058594,0.2460211110115051
0.4747271537780762,2.6226043701171875e-06,0.0005726814270019531,0.2460211110115051
0.5536885261535645,2.6226043701171875e-06,0.0004832744598388672,0.2460211110115051
0.4907951354980469,2.384185791015625e-06,0.0004889965057373047,0.2460211110115051
0.245652437210083,1.8596649169921875e-05,0.0044443607330322266,0.2460211110115051
0.3070082664489746,2.6226043701171875e-06,0.0004916191101074219,0.2460211110115051
0.4145917892456055,2.1457672119140625e-06,0.0005574226379394531,0.2460211110115051
0.4389581680297852,2.384185791015625e-06,0.0012001991271972654,0.2460211110115051
0.3307104110717773,2.384185791015625e-06,0.0006248950958251952,0.2460211110115051
0.392240047454834,1.9073486328125e-06,0.0004792213439941406,0.2460211110115051
0.4420344829559326,1.2874603271484375e-05,0.002733707427978516,0.2460211110115051
0.2163543701171875,2.384185791015625e-06,0.0004763603210449219,0.2460211110115051
0.4341566562652588,2.384185791015625e-06,0.0005452632904052733,0.2460211110115051
0.2912693023681641,2.6226043701171875e-06,0.0005524158477783203,0.2460211110115051
0.2881946563720703,1.5735626220703125e-05,0.0026535987854003906,0.2460211110115051
0.2540836334228516,2.1457672119140625e-06,0.0004000663757324219,0.2460211110115051
0.5198943614959717,3.5762786865234375e-06,0.000789642333984375,0.2460211110115051
0.2941389083862305,6.67572021484375e-06,0.0006134510040283202,0.2460211110115051
0.2374031543731689,3.5762786865234375e-06,0.00042939186096191406,0.2460211110115051
0.2383017539978028,3.0994415283203125e-06,0.00045228004455566406,0.2460211110115051
0.24999213218688965,7.390975952148436e-06,0.002155780792236328,0.2460211110115051
0.4041433334350586,2.1457672119140625e-06,0.00047016143798828125,0.2460211110115051
0.287888765335083,2.384185791015625e-06,0.0010802745819091797,0.2460211110115051
0.4080207347869873,3.0994415283203125e-06,0.0007126331329345702,0.2460211110115051
0.42264962196350103,2.6226043701171875e-06,0.0008683204650878906,0.2460211110115051
0.4932086467742921,3.0994415283203125e-06,0.0006363391876220702,0.2460211110115051
0.3644816875457764,2.384185791015625e-06,0.0005719661712646482,0.2460211110115051
0.5306327342987059,9.775161743164062e-06,0.0008656978607177732,0.2460211110115051
0.37015247344970703,3.337860107421875e-06,0.0010082721710205078,0.2460211110115051
0.4623806476593018,1.9073486328125e-06,0.0005872249603271482,0.2460211110115051
0.2044484615325928,1.6689300537109375e-06,0.0005047321319580078,0.2460211110115051
0.2902822494506836,1.6689300537109375e-06,0.0005381107330322267,0.2460211110115051
0.3977513313293457,3.337860107421875e-06,0.0007562637329101562,0.2460211110115051
0.5202860832214355,3.0994415283203125e-06,0.0006053447723388673,0.2460211110115051
0.8339288234710693,2.1457672119140625e-06,0.0006544589996337893,0.2460211110115051
0.5188298225402832,2.86102294921875e-06,0.0029277801513671875,0.2460211110115051
0.4259037971496582,3.337860107421875e-06,0.0006346702575683594,0.2460211110115051
0.5208613872528076,1.4066696166992188e-05,0.0009548664093017578,0.2460211110115051
0.2884232997894287,2.86102294921875e-06,0.0008227825164794923,0.2460211110115051
0.7091784477233887,2.1457672119140625e-06,0.0004956722259521483,0.2460211110115051
0.4843873977661133,4.76837158203125e-06,0.0016891956329345705,0.2460211110115051
0.2770683765411377,1.9073486328125e-06,0.00048279762268066406,0.2460211110115051
0.2443842887878418,2.384185791015625e-06,0.0006873607635498048,0.2460211110115051
0.4887471199035645,2.384185791015625e-06,0.0006403923034667969,0.2460211110115051
0.2959773540496826,2.1457672119140625e-06,0.0005018711090087892,0.2460211110115051
0.1559610366821289,2.86102294921875e-06,0.00045371055603027344,0.2460211110115051
0.3568344116210937,2.1457672119140625e-06,0.0004525184631347656,0.2460211110115051
0.21498656272888186,2.1457672119140625e-06,0.00048542022705078125,0.2460211110115051
0.2047686576843261,2.1457672119140625e-06,0.0005137920379638672,0.2460211110115051
0.2641580104827881,1.9073486328125e-06,0.0004756450653076172,0.2460211110115051
0.28933238983154297,2.384185791015625e-06,0.0020487308502197266,0.2460211110115051
0.27785253524780273,1.9073486328125e-06,0.0004508495330810547,0.2460211110115051
0.3110525608062744,2.86102294921875e-06,0.0007779598236083982,0.2460211110115051
0.35306334495544434,2.384185791015625e-06,0.0004320144653320313,0.2460211110115051
0.22107672691345207,3.5762786865234375e-06,0.0005624294281005858,0.2460211110115051
0.2888638973236084,2.1457672119140625e-06,0.0004863739013671875,0.2460211110115051
0.3871526718139648,2.86102294921875e-06,0.0006093978881835938,0.2460211110115051
0.2791743278503418,1.6689300537109375e-06,0.0004489421844482422,0.2460211110115051
0.2143661975860596,2.384185791015625e-06,0.0007259845733642577,0.2460211110115051
0.16267108917236328,4.529953002929688e-06,0.00041604042053222656,0.2460211110115051
0.3817374706268311,3.5762786865234375e-06,0.0008592605590820312,0.2460211110115051
0.45304512977600103,2.1457672119140625e-06,0.0005097389221191406,0.2460211110115051
0.4578394889831543,5.0067901611328125e-06,0.0008530616760253906,0.2460211110115051
0.3433427810668945,2.6226043701171875e-06,0.0007224082946777344,0.2460211110115051
0.40997314453125,3.814697265625e-06,0.0008647441864013673,0.2460211110115051
0.3322610855102539,1.9073486328125e-06,0.0006060600280761719,0.2460211110115051
0.2636854648590088,6.9141387939453125e-06,0.000553131103515625,0.2460211110115051
0.23287272453308105,1.9073486328125e-06,0.0006074905395507812,0.2460211110115051
0.1937460899353028,2.1457672119140625e-06,0.00046539306640625,0.2460211110115051
0.2278938293457031,1.9073486328125e-06,0.0004706382751464844,0.2460211110115051
0.29503870010375977,2.384185791015625e-06,0.0004971027374267578,0.2460211110115051
0.2430980205535889,1.9073486328125e-06,0.0005180835723876953,0.2460211110115051
0.18782782554626465,1.6689300537109375e-06,0.0004067420959472656,0.2460211110115051
0.32695674896240234,2.1457672119140625e-06,0.0004825592041015625,0.2460211110115051
