A,B,C
0.20353174209594727,0.0005631446838378906,0.00017070770263671875
0.2938389778137207,0.000644683837890625,0.0003271102905273437
0.33583593368530273,0.0009958744049072266,0.0005741119384765625
0.35986852645874023,0.0008389949798583982,0.0003383159637451172
0.2331051826477051,0.0009644031524658203,0.00028824806213378906
0.3462362289428711,0.0006413459777832031,0.0002624988555908203
0.2113182544708252,0.0005209445953369142,0.00013899803161621094
0.2269792556762696,0.0006778240203857423,0.00023031234741210938
0.19440484046936035,0.0005013942718505858,0.00012373924255371094
0.16460704803466794,0.0003402233123779297,7.319450378417969e-05
0.19323110580444336,0.00046253204345703125,0.0001239776611328125
0.3107485771179199,0.0007283687591552732,0.0003669261932373047
0.20007920265197754,0.0004322528839111328,0.00013446807861328125
0.17292022705078125,0.0009946823120117188,0.00014853477478027344
0.32511186599731445,0.0006945133209228518,0.0002584457397460937
0.2427959442138672,0.0006444454193115232,0.00024366378784179688
0.21115922927856445,0.0006849765777587893,0.00019860267639160162
0.275087833404541,0.0007233619689941406,0.000278472900390625
0.19230222702026367,0.0005745887756347656,0.00015115737915039062
0.2926003932952881,0.0006792545318603518,0.00028324127197265625
0.2653048038482666,0.0007634162902832031,0.0002453327178955078
0.33942127227783203,0.0008420944213867188,0.0005195140838623047
0.17675209045410156,0.0004863739013671875,0.000171661376953125
0.28000760078430176,0.0007576942443847656,0.00025796890258789057
0.4313850402832031,0.0006978511810302732,0.0007214546203613281
0.16507792472839355,0.0005102157592773439,0.00018978118896484367
0.2426106929779053,0.0005772113800048827,0.0002574920654296875
0.18367290496826166,0.0004475116729736328,0.00011372566223144531
0.5641119480133057,0.0013835430145263672,0.001425027847290039
0.1930851936340332,0.00048828125,0.00025010108947753906
0.26097655296325684,0.0006554126739501952,0.0003383159637451172
0.3531162738800049,0.0007584095001220702,0.0005536079406738281
0.1775498390197754,0.0005106925964355469,9.250640869140624e-05
0.29685020446777344,0.0012226104736328125,0.0004179477691650391
0.2508659362792969,0.0007433891296386719,0.00024509429931640625
0.20751452445983887,0.0005221366882324219,0.00025224685668945307
0.2134447097778321,0.0005180835723876953,0.00011396408081054688
0.2474193572998047,0.0006396770477294923,0.00023293495178222656
0.18255615234375,0.000423431396484375,0.00012421607971191406
0.27997756004333496,0.0006244182586669923,0.0003511905670166016
0.30277156829833984,0.0006914138793945312,0.0003287792205810547
0.1992862224578857,0.0005364418029785156,0.00013756752014160156
0.2667477130889893,0.0006887912750244143,0.00026035308837890625
0.18560457229614247,0.0005207061767578125,0.00016546249389648438
0.38501882553100586,0.0006906986236572268,0.001028299331665039
0.34361767768859863,0.0010521411895751953,0.0003216266632080078
0.22113037109375,0.0005488395690917969,0.0002110004425048828
0.26773905754089355,0.0012280941009521484,0.00044536590576171886
0.2552344799041748,0.0006973743438720702,0.00018644332885742188
0.2701449394226074,0.0007801055908203125,0.00039124488830566406
0.5365076065063477,0.0011551380157470705,0.0018057823181152344
0.2189657688140869,0.0006639957427978518,0.00026273727416992204
0.3034083843231201,0.0007619857788085938,0.0003721714019775391
0.3087873458862305,0.015609025955200197,0.00037288665771484375
0.3538703918457031,0.0008819103240966797,0.00048089027404785156
0.3393299579620361,0.0012629032135009766,0.0004601478576660156
0.36671900749206543,0.0009005069732666016,0.0004761219024658203
0.1989285945892334,0.0007965564727783202,0.0002129077911376953
0.2144031524658203,0.0005946159362792969,0.0001647472381591797
0.21639060974121094,0.0006256103515625,0.0001895427703857422
0.2586157321929932,0.0009467601776123047,0.0003199577331542969
0.22771596908569336,0.0006518363952636719,0.0001518726348876953
0.2759580612182617,0.0005757808685302732,0.00021338462829589844
0.2421784400939941,0.0007648468017578125,0.00028705596923828125
0.3043689727783203,0.0011365413665771484,0.00037980079650878906
0.32535409927368164,0.0009512901306152344,0.0006196498870849607
0.2464580535888672,0.0007765293121337893,0.0003437995910644531
0.429621696472168,0.0009818077087402344,0.0010056495666503906
0.3653135299682617,0.0007691383361816406,0.004578590393066406
0.2609260082244873,0.0006561279296875,0.0003094673156738281
0.295135498046875,0.0007278919219970702,0.000453948974609375
0.18249750137329104,0.0003197193145751953,0.00011682510375976562
0.1822404861450196,0.0005862712860107423,9.560585021972656e-05
0.2693080902099609,0.0005657672882080077,0.00021791458129882807
0.3690903186798096,0.0009067058563232422,0.0006973743438720702
0.2278728485107422,0.0006315708160400393,0.00026750564575195307
0.21296095848083496,0.00042510032653808594,0.0001423358917236328
0.2301034927368164,0.0005574226379394531,0.00016164779663085938
0.2313523292541504,0.0007762908935546875,0.00032448768615722656
0.1912775039672852,0.0006456375122070312,0.000164031982421875
0.20072388648986814,0.0006580352783203125,0.00019741058349609367
0.1869678497314453,0.00047087669372558594,9.560585021972656e-05
0.22893357276916504,0.0006213188171386719,0.00012135505676269531
0.2637672424316406,0.0010213851928710938,0.00035691261291503906
0.1941175460815429,0.0007047653198242188,0.00016379356384277344
0.3035218715667725,0.0006964206695556643,0.00033211708068847656
0.22806429862976074,0.005728244781494141,0.0001883506774902344
0.19141197204589844,0.0007166862487792969,0.00012993812561035156
0.3019437789916992,0.0007483959197998048,0.0003695487976074219
0.30520057678222656,0.0007159709930419923,0.0004398822784423828
0.33385610580444336,0.0009903907775878906,0.00048661231994628906
0.2793564796447754,0.0011363029479980467,0.00042557716369628906
0.37863850593566895,0.0006513595581054688,0.0008401870727539062
0.2014031410217285,0.0005431175231933594,0.00013756752014160156
0.23149800300598145,0.0008697509765625,0.00029921531677246094
0.2867615222930908,0.0008022785186767577,0.0004129409790039063
0.3518078327178955,0.0007154941558837893,0.0003118515014648437
0.180537223815918,0.0005793571472167969,0.00015211105346679688
0.2624540328979492,0.0007951259613037107,0.00025010108947753906
0.3803060054779053,0.0006840229034423827,0.0005764961242675781
0.15529251098632812,0.0005259513854980469,0.00011348724365234375
0.3142187595367432,0.0008673667907714844,0.0005598068237304689
0.20506858825683594,0.0005249977111816406,0.0001933574676513672
0.2030644416809082,0.0006487369537353518,0.00018787384033203125
0.2070777416229248,0.00047969818115234375,0.00013089179992675779
0.3994040489196777,0.0006694793701171875,0.0006532669067382812
0.25253820419311523,0.0008873939514160156,0.00023102760314941406
0.15999770164489746,0.0006816387176513673,0.00010657310485839844
0.19286322593688965,0.00047135353088378906,9.369850158691406e-05
0.19440484046936035,0.0004940032958984375,0.00012874603271484375
0.2882342338562012,0.000804901123046875,0.0006287097930908202
0.2123420238494873,0.0005025863647460939,0.00017213821411132812
0.2046704292297364,0.0005257129669189453,0.00010085105895996094
0.18357157707214355,0.0005199909210205078,0.0001041889190673828
0.2599353790283203,0.0008068084716796875,0.0002443790435791016
0.19988322257995605,0.0004909038543701172,0.00014138221740722656
0.3628349304199219,0.0009093284606933594,0.00037026405334472656
0.2382152080535889,0.0006015300750732423,0.0001852512359619141
0.27475905418396,0.0005440711975097656,0.00022482872009277344
0.16384434700012207,0.00046133995056152317,0.00012946128845214844
0.20435786247253407,0.00043702125549316406,0.00010824203491210938
0.18684673309326166,0.00044727325439453125,8.893013000488281e-05
0.2931728363037109,0.0005333423614501953,0.0001850128173828125
0.42264771461486816,0.000881195068359375,0.0011067390441894533
0.34255075454711914,0.0008440017700195312,0.0009009838104248047
0.26709604263305664,0.000682830810546875,0.00027322769165039057
0.3562285900115967,0.0009279251098632812,0.0006368160247802732
0.21940016746521,0.0006597042083740232,0.00021314620971679688
0.408315658569336,0.001117706298828125,0.0009188652038574221
0.2608730792999268,0.0007405281066894531,0.0003268718719482422
0.1975796222686768,0.0005559921264648439,0.0001780986785888672
0.17221570014953613,0.0003571510314941406,6.985664367675781e-05
0.3478477001190185,0.0007076263427734375,0.00048089027404785156
0.24920892715454104,0.0007162094116210938,0.00036406517028808594
0.17008185386657715,0.000701904296875,8.940696716308594e-05
0.3390083312988281,0.0008511543273925781,0.0004584789276123047
0.2202177047729492,0.0005903244018554688,0.00017118453979492188
0.2098321914672852,0.0006113052368164062,0.00013518333435058594
0.2405266761779785,0.0005013942718505858,0.00018262863159179688
0.2297074794769287,0.0004892349243164061,0.0001888275146484375
0.21918034553527832,0.0007796287536621094,0.0003409385681152344
0.17204022407531738,0.0003833770751953125,8.988380432128906e-05
0.2344634532928467,0.00049591064453125,0.00015211105346679688
0.2102308273315429,0.00046563148498535156,0.00016188621520996094
0.20318341255187988,0.00044655799865722656,0.0001647472381591797
0.17461729049682614,0.0004761219024658203,0.0001544952392578125
0.13573861122131348,0.0003674030303955078,9.775161743164062e-05
0.17249703407287598,0.0004394054412841797,0.00011157989501953125
0.14913177490234375,0.0002994537353515625,6.151199340820312e-05
0.1906273365020752,0.0005600452423095703,0.00028824806213378906
0.21410822868347168,0.0003600120544433594,0.00015115737915039062
0.3389511108398437,0.0007076263427734375,0.00041866302490234375
0.20279312133789065,0.0004913806915283203,0.0002033710479736328
0.2437591552734375,0.0005552768707275392,0.00026273727416992204
0.1589043140411377,0.0004973411560058594,0.00010442733764648438
0.19019746780395508,0.0004482269287109375,0.00015854835510253906
0.196887731552124,0.0004665851593017578,0.00016760826110839844
0.19058704376220706,0.0004200935363769531,0.00014519691467285156
0.21551728248596191,0.0006754398345947268,0.00023102760314941406
0.3258764743804932,0.0007989406585693357,0.0003840923309326172
0.21547269821166992,0.0005619525909423828,0.0001552104949951172
0.15940213203430176,0.0003347396850585937,9.989738464355467e-05
0.2952303886413574,0.0006976127624511719,0.0003046989440917969
0.2216017246246338,0.00045990943908691406,0.00013899803161621094
0.2180938720703125,0.0006921291351318357,0.0002651214599609375
0.17533254623413086,0.0004305839538574219,0.00010919570922851562
0.2605688571929932,0.0006110668182373048,0.00029730796813964844
0.28964948654174805,0.000789642333984375,0.0003230571746826172
0.19480204582214355,0.0004811286926269531,0.00012874603271484375
0.2400171756744385,0.00080108642578125,0.0001952648162841797
0.3249764442443848,0.0006260871887207031,0.0003180503845214844
0.2573702335357666,0.0006310939788818357,0.00018405914306640625
0.2045130729675293,0.0005230903625488281,0.00023126602172851557
0.2475924491882324,0.0006310939788818357,0.00023818016052246094
0.2209014892578125,0.0004563331604003906,0.00013709068298339844
0.2878291606903076,0.0012483596801757812,0.00043392181396484375
0.17493200302124026,0.0005965232849121094,0.00019121170043945312
0.17276740074157715,0.0004146099090576172,7.43865966796875e-05
0.20314478874206546,0.000423431396484375,0.00018358230590820312
0.19978952407836914,0.0007460117340087893,0.0001854896545410156
0.3401365280151367,0.0006880760192871094,0.0004711151123046875
0.29569315910339355,0.0007805824279785156,0.0003185272216796875
0.33868837356567383,0.0009911060333251953,0.0006892681121826173
0.1618974208831787,0.00040602684020996094,9.918212890625e-05
0.2738323211669922,0.0005710124969482423,0.0002460479736328125
0.2202303409576416,0.0005621910095214844,0.00024175643920898443
0.1950070858001709,0.0004949569702148439,0.0002028942108154297
0.3918592929840088,0.0008261203765869143,0.0009200572967529297
0.2660863399505615,0.0006775856018066406,0.0018863677978515625
0.27730298042297363,0.0007693767547607423,0.00033092498779296875
0.3908967971801758,0.0007159709930419923,0.0008096694946289062
0.2936816215515137,0.0006227493286132812,0.00032329559326171875
0.1671125888824463,0.0003619194030761719,8.940696716308594e-05
0.2465584278106689,0.0007054805755615232,0.0002753734588623047
0.2117767333984375,0.0004909038543701172,0.00016355514526367188
0.4076635837554932,0.001148223876953125,0.0005502700805664061
0.27115321159362793,0.0006196498870849607,0.0002498626708984375
0.21053719520568848,0.0004353523254394531,0.00013899803161621094
0.2344813346862793,0.0005598068237304689,0.00022602081298828125
0.2460260391235352,0.0006682872772216798,0.00047206878662109375
0.27347731590271,0.0005915164947509768,0.00022482872009277344
0.3806252479553223,0.0009098052978515623,0.0007522106170654298
0.1981680393218994,0.000400543212890625,0.0002048015594482422
0.37815976142883295,0.0009033679962158203,0.00074005126953125
0.3590397834777832,0.0006823539733886719,0.0006732940673828125
0.20739126205444336,0.0006251335144042969,0.0002028942108154297
0.2798042297363281,0.0010230541229248047,0.0003733634948730469
0.17264485359191895,0.0004482269287109375,0.00010204315185546876
