A,B,C
0.224804162979126,0.0007803440093994143,0.0013227462768554688
0.24608683586120605,0.0006275177001953125,0.002144813537597656
0.2525143623352051,0.0009992122650146484,0.002442598342895508
0.2446181774139405,0.0005609989166259767,0.002904176712036133
0.2317006587982177,0.00047969818115234375,0.0014197826385498047
0.2863810062408447,0.0006763935089111327,0.003509044647216797
0.2192955017089844,0.0005388259887695311,0.0008935928344726562
0.28737807273864746,0.0006771087646484375,0.00300288200378418
0.229358434677124,0.0005679130554199219,0.001165628433227539
0.18209433555603027,0.0003941059112548828,0.0006070137023925781
0.19721245765686035,0.0005719661712646482,0.0009238719940185547
0.3251168727874756,0.0006923675537109375,0.003923416137695313
0.22429466247558594,0.0006434917449951173,0.0008897781372070312
0.20569849014282227,0.0004534721374511719,0.000675201416015625
0.32198095321655273,0.0006568431854248048,0.0029010772705078125
0.2536303997039795,0.0005960464477539062,0.0021953582763671875
0.22916483879089355,0.0005819797515869143,0.0010502338409423828
0.3090226650238037,0.0006244182586669923,0.002357006072998047
0.2512545585632324,0.0006685256958007812,0.0008306503295898438
0.2951171398162842,0.0007381439208984375,0.0035228729248046875
0.27646756172180176,0.0007071495056152344,0.002475738525390625
0.31713008880615234,0.0008585453033447268,0.004362344741821289
0.20088672637939453,0.0006010532379150393,0.000560760498046875
0.3188505172729492,0.00083160400390625,0.0037713050842285156
0.4569213390350342,0.0010411739349365234,0.010926961898803713
0.20235991477966309,0.00494837760925293,0.0006747245788574219
0.2552390098571777,0.0006730556488037107,0.0011894702911376953
0.21101951599121094,0.0004129409790039063,0.0006439685821533202
0.5945587158203125,0.0017435550689697266,0.02954912185668945
0.20887351036071766,0.0007035732269287107,0.0012218952178955078
0.3092947006225586,0.0006122589111328125,0.002701997756958008
0.3196568489074707,0.0006577968597412107,0.0033059120178222656
0.17159032821655273,0.0006997585296630857,0.00070953369140625
0.30000996589660645,0.0007126331329345702,0.0024962425231933594
0.2370867729187012,0.0005404949188232422,0.0016872882843017578
0.2134084701538086,0.0005631446838378906,0.0011830329895019533
0.17996501922607422,0.0004086494445800781,0.0006258487701416018
0.2692711353302002,0.0007178783416748048,0.002109527587890625
0.17208647727966309,0.00040650367736816406,0.00072479248046875
0.28110218048095703,0.0005941390991210938,0.002318143844604492
0.33501124382019043,0.0006875991821289062,0.0035681724548339844
0.21443438529968264,0.0006086826324462893,0.0012412071228027346
0.2617776393890381,0.0008652210235595702,0.002245664596557617
0.2077336311340332,0.0004396438598632813,0.0007586479187011719
0.4282708168029785,0.0010623931884765623,0.010885953903198242
0.33099794387817383,0.0006458759307861327,0.002991676330566407
0.2318284511566162,0.000598907470703125,0.001451730728149414
0.2789280414581299,0.0006282329559326173,0.0021533966064453125
0.2591683864593506,0.00054931640625,0.001664876937866211
0.296658992767334,0.0005362033843994142,0.0027310848236083984
0.5994453430175781,0.008472681045532227,0.016404151916503906
0.20312094688415527,0.000469207763671875,0.0007565021514892577
0.3327000141143799,0.0007951259613037107,0.003977537155151367
0.3538315296173096,0.0010759830474853516,0.005070924758911133
0.3396179676055908,0.0008928775787353516,0.002965927124023437
0.2811605930328369,0.001034259796142578,0.00385284423828125
0.3661236763000488,0.0010237693786621094,0.0076754093170166016
